cruise,cast,niskin,date,latitude,longitude,depth,method_contributor,replicate,filter_size,chl,phaeo,project_id,nearest_station,distance,iode_quality_flag
AR24A,1,2,10/22/2017 20:03,41.13,-70.829,32.5,method_Sosik,a,>0,2.232245114,1.483148067,LTER,,,1
AR24A,1,2,10/22/2017 20:03,41.13,-70.829,32.5,method_Sosik,b,>0,2.215951354,1.649680128,LTER,,,1
AR24A,1,3,10/22/2017 20:05,41.13,-70.829,20.5,method_Sosik,a,>0,5.615915932,1.78220993,LTER,,,1
AR24A,1,3,10/22/2017 20:05,41.13,-70.829,20.5,method_Sosik,b,>0,5.938170295,1.864945769,LTER,,,1
AR24A,1,5,10/22/2017 20:07,41.13,-70.829,12.2,method_Sosik,a,>0,5.273746973,1.885695954,LTER,,,1
AR24A,1,5,10/22/2017 20:07,41.13,-70.829,12.2,method_Sosik,b,>0,5.025719738,1.746696261,LTER,,,1
AR24A,1,7,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,a,>0,3.25151032,0.960322464,LTER,,,1
AR24A,1,7,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,a,<10,0.742354451,0.331080321,LTER,,,1
AR24A,8,5,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,a,>0,0.853122998,0.440755133,LTER,,,1
AR24A,8,5,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,b,>0,0.927556548,0.410220958,LTER,,,1
AR24A,8,5,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,a,<10,0.545717728,0.283512801,LTER,,,1
AR24A,8,5,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,b,<10,0.589478112,0.356438917,LTER,,,1
AR24B,0,0,10/30/2017 18:45,41.36,-70.787,0,method_Sosik,a,>0,5.347116872,2.237180643,LTER,,,1
AR28B,1,2,4/3/2018 20:30,41.197,-70.883,15,method_Sosik,a,>0,1.246576703,0.609293412,LTER,L1,,1
AR28B,1,2,4/3/2018 20:30,41.197,-70.883,15,method_Sosik,b,>0,1.176266736,0.489874783,LTER,L1,,1
AR28B,1,5,4/3/2018 20:33,41.197,-70.883,9,method_Sosik,a,>0,0.902627948,0.377457129,LTER,L1,,1
AR28B,1,5,4/3/2018 20:33,41.197,-70.883,9,method_Sosik,b,>0,0.851130648,0.32683095,LTER,L1,,1
AR28B,1,8,4/3/2018 20:35,41.197,-70.883,3,method_Sosik,a,>0,0.798106535,0.389364369,LTER,L1,,1
AR28B,1,8,4/3/2018 20:35,41.197,-70.883,3,method_Sosik,b,>0,0.891068524,0.35983881,LTER,L1,,1
AR28B,1,8,4/3/2018 20:35,41.197,-70.883,3,method_Sosik,a,<10,0.530581877,0.22233548,LTER,L1,,3
AR28B,1,8,4/3/2018 20:35,41.197,-70.883,3,method_Sosik,b,<10,0.850510071,0.30294076,LTER,L1,,4
AR38,0,0,9/20/2019 21:12,40.863242,-70.88305,0,method_Sosik,a,>0,0.794537925,0.415206853,LTER,L3,,1
AR38,0,0,9/20/2019 21:12,40.863242,-70.88305,0,method_Sosik,b,>0,0.842762553,0.345218044,LTER,L3,,1
AR38,0,0,9/20/2019 21:12,40.863242,-70.88305,0,method_Sosik,a,<10,0.288922882,0.211139824,LTER,L3,,1
AR38,0,0,9/20/2019 21:12,40.863242,-70.88305,0,method_Sosik,b,<10,0.256843944,0.190038535,LTER,L3,,1
AR39A,13,7,9/30/2019 21:17,40.3648,-70.775,7,method_Sosik,a,>0,0.419777595,0.199781366,OOI,L13,0.02,1
AR24A,1,7,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,b,>0,NA,NA,LTER,,,9
AR24A,1,7,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,b,<10,NA,NA,LTER,,,9
EN608,14,1,2/2/2018 15:24,40.21386,-70.89621,120.295,method_Sosik,a,>0,0.24,0.254,LTER,NA,NA,1
EN608,14,1,2/2/2018 15:24,40.21386,-70.89621,120.295,method_Sosik,b,>0,0.308,0.257,LTER,NA,NA,1
EN608,14,5,2/2/2018 15:26,40.21336,-70.89682,103.931,method_Sosik,a,>0,0.206,0.154,LTER,NA,NA,1
EN608,14,5,2/2/2018 15:26,40.21336,-70.89682,103.931,method_Sosik,b,>0,0.162,0.14,LTER,NA,NA,1
EN608,14,9,2/2/2018 15:29,40.21308,-70.89774,78.719,method_Sosik,a,>0,0.688,0.337,LTER,NA,NA,1
EN608,14,13,2/2/2018 15:29,40.21308,-70.89774,78.719,method_Sosik,a,>0,1.213,0.378,LTER,NA,NA,1
EN608,14,13,2/2/2018 15:29,40.21308,-70.89774,78.719,method_Sosik,b,>0,1.027,0.414,LTER,NA,NA,1
EN608,14,17,2/2/2018 15:34,40.21264,-70.89941,39.928,method_Sosik,a,>0,2.168,0.788,LTER,NA,NA,1
EN608,14,17,2/2/2018 15:34,40.21264,-70.89941,39.928,method_Sosik,b,>0,2.385,0.624,LTER,NA,NA,1
EN608,14,22,2/2/2018 15:39,40.2123,-70.90126,6.882,method_Sosik,a,>0,2.735,0.711,LTER,NA,NA,1
EN608,14,22,2/2/2018 15:39,40.2123,-70.90126,6.882,method_Sosik,b,>0,2.413,0.693,LTER,NA,NA,1
